year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
1916,0.08974046,0.08974046,0.07181832,0.05987023,0.04792214,0.03896107,0.06584427,0.05389618,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1917,-0.25191194,-0.25191194,-0.16733836,-0.11095597,-0.05457358,-0.01228679,-0.13914716,-0.08276477,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1918,0.26211689,0.26211689,0.19248182,0.14605844,0.09963507,0.06481753,0.16927013,0.12284676,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1919,0.20205599,0.20205599,0.15043919,0.11602799,0.08161680,0.05580840,0.13323359,0.09882240,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1920,-0.18514116,-0.18514116,-0.12059881,-0.07757058,-0.03454235,-0.00227117,-0.09908469,-0.05605646,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1921,0.15154352,0.15154352,0.11508046,0.09077176,0.06646306,0.04823153,0.10292611,0.07861741,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1922,0.27270055,0.27270055,0.19989038,0.15135027,0.10281016,0.06640508,0.17562033,0.12708022,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1923,0.03484920,0.03484920,0.03339444,0.03242460,0.03145476,0.03072738,0.03290952,0.03193968,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1924,0.26161712,0.26161712,0.19213198,0.14580856,0.09948514,0.06474257,0.16897027,0.12264685,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1925,0.29148755,0.29148755,0.21304129,0.16074378,0.10844627,0.06922313,0.18689253,0.13459502,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1926,0.13992552,0.13992552,0.10694786,0.08496276,0.06297766,0.04648883,0.09595531,0.07397021,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1927,0.35787242,0.35787242,0.25951069,0.19393621,0.12836173,0.07918086,0.22672345,0.16114897,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1928,0.38129735,0.38129735,0.27590815,0.20564868,0.13538921,0.08269460,0.24077841,0.17051894,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1929,-0.04206106,-0.04206106,-0.02044274,-0.00603053,0.00838168,0.01919084,-0.01323664,0.00117558,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
